seed,snapshot_query,layer,query_type,tool,tau,eta,effective_probability,traffic_share,n_type_queries_in_prefix
0,25,retrieve,factual-lookup,knowledge_base,1.5854765661612504,0.8510274249551012,0.25554368332088073,0.2857142857142857,7
0,25,retrieve,factual-lookup,vector_db,2.6236164326707403,0.6487355273353228,0.24572758831041233,0.14285714285714285,7
0,25,retrieve,factual-lookup,web_search,2.795881222229122,0.8952899894498829,0.4987287283687068,0.5714285714285714,7
0,25,retrieve,math-calculation,knowledge_base,1.5854765661612504,0.3252687649863037,0.2354113224881397,0.14285714285714285,7
0,25,retrieve,math-calculation,vector_db,2.6236164326707403,0.3388876863548721,0.42285816254759223,0.42857142857142855,7
0,25,retrieve,math-calculation,web_search,2.795881222229122,0.29511489026500876,0.34173051496426804,0.42857142857142855,7
0,25,retrieve,text-summarization,knowledge_base,1.5854765661612504,0.9,0.35090945578203053,0.0,4
0,25,retrieve,text-summarization,vector_db,2.6236164326707403,0.709004267172548,0.3603696975037481,0.25,4
0,25,retrieve,text-summarization,web_search,2.795881222229122,0.6147585821621118,0.28872084671422144,0.75,4
0,25,retrieve,code-snippet,knowledge_base,1.5854765661612504,0.4203298622196588,0.12883294291862724,0.42857142857142855,7
0,25,retrieve,code-snippet,vector_db,2.6236164326707403,0.5695941459712673,0.39148757761290315,0.42857142857142855,7
0,25,retrieve,code-snippet,web_search,2.795881222229122,0.6107632630900989,0.47967947946846967,0.14285714285714285,7
0,25,process,factual-lookup,calculator,1.0390647016856753,0.10311439465548324,0.006764154731397615,0.14285714285714285,7
0,25,process,factual-lookup,regex_processor,1.7410244000905224,0.27922060862328446,0.0831059551877249,0.0,7
0,25,process,factual-lookup,small_llm,4.224885119284914,0.5931684756547083,0.9101298900808775,0.8571428571428571,7
0,25,process,math-calculation,calculator,1.0390647016856753,0.3,0.05274060457802533,0.14285714285714285,7
0,25,process,math-calculation,regex_processor,1.7410244000905224,0.38389330975474667,0.14470580306991054,0.0,7
0,25,process,math-calculation,small_llm,4.224885119284914,0.5803628007629783,0.8025535923520641,0.8571428571428571,7
0,25,process,text-summarization,calculator,1.0390647016856753,0.05,0.0006273037102953597,0.0,4
0,25,process,text-summarization,regex_processor,1.7410244000905224,0.3099695487569871,0.04039598254584513,0.0,4
0,25,process,text-summarization,small_llm,4.224885119284914,0.9695025386087188,0.9589767137438594,1.0,4
0,25,process,code-snippet,calculator,1.0390647016856753,0.25683035028598605,0.016700842924626647,0.0,7
0,25,process,code-snippet,regex_processor,1.7410244000905224,0.7061918278299674,0.21156963870641415,0.2857142857142857,7
0,25,process,code-snippet,small_llm,4.224885119284914,0.865811894969673,0.7717295183689591,0.7142857142857143,7
0,50,retrieve,factual-lookup,knowledge_base,2.2762045930377317,0.8510274249551012,0.23820912314903514,0.2,15
0,50,retrieve,factual-lookup,vector_db,3.3717878287163976,0.6487355273353228,0.2050480232185615,0.13333333333333333,15
0,50,retrieve,factual-lookup,web_search,4.806923498714174,0.8952899894498829,0.5567428536324034,0.6666666666666666,15
0,50,retrieve,math-calculation,knowledge_base,2.2762045930377317,0.3252687649863037,0.23007668320434851,0.09090909090909091,11
0,50,retrieve,math-calculation,vector_db,3.3717878287163976,0.3388876863548721,0.36995457935393466,0.36363636363636365,11
0,50,retrieve,math-calculation,web_search,4.806923498714174,0.29511489026500876,0.3999687374417168,0.5454545454545454,11
0,50,retrieve,text-summarization,knowledge_base,2.2762045930377317,0.9,0.3442772668765658,0.25,12
0,50,retrieve,text-summarization,vector_db,3.3717878287163976,0.709004267172548,0.31649727051127136,0.16666666666666666,12
0,50,retrieve,text-summarization,web_search,4.806923498714174,0.6147585821621118,0.33922546261216285,0.5833333333333334,12
0,50,retrieve,code-snippet,knowledge_base,2.2762045930377317,0.4203298622196588,0.12226396379247019,0.25,12
0,50,retrieve,code-snippet,vector_db,3.3717878287163976,0.5695941459712673,0.3325814008511729,0.4166666666666667,12
0,50,retrieve,code-snippet,web_search,4.806923498714174,0.6107632630900989,0.545154635356357,0.3333333333333333,12
0,50,process,factual-lookup,calculator,0.8938082979592695,0.10311439465548324,0.0033865224781388864,0.13333333333333333,15
0,50,process,factual-lookup,regex_processor,2.0713131548415027,0.27922060862328446,0.057545542601844815,0.0,15
0,50,process,factual-lookup,small_llm,7.489794467667532,0.5931684756547083,0.9390679349200163,0.8666666666666667,15
0,50,process,math-calculation,calculator,0.8938082979592695,0.3,0.02765856803247931,0.09090909090909091,11
0,50,process,math-calculation,regex_processor,2.0713131548415027,0.38389330975474667,0.10495657507872509,0.0,11
0,50,process,math-calculation,small_llm,7.489794467667532,0.5803628007629783,0.8673848568887956,0.9090909090909091,11
0,50,process,text-summarization,calculator,0.8938082979592695,0.05,0.00030858559964583635,0.0,12
0,50,process,text-summarization,regex_processor,2.0713131548415027,0.3099695487569871,0.02748369309056357,0.08333333333333333,12
0,50,process,text-summarization,small_llm,7.489794467667532,0.9695025386087188,0.9722077213097906,0.9166666666666666,12
0,50,process,code-snippet,calculator,0.8938082979592695,0.25683035028598605,0.008791042463669588,0.0,12
0,50,process,code-snippet,regex_processor,2.0713131548415027,0.7061918278299674,0.154026144960636,0.3333333333333333,12
0,50,process,code-snippet,small_llm,7.489794467667532,0.865811894969673,0.8371828125756944,0.6666666666666666,12
0,75,retrieve,factual-lookup,knowledge_base,3.33036257121197,0.8510274249551012,0.26881791010955847,0.3,20
